galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
NGC6946_rotmod,58,1665.815917444044,29.224840656913056,2.6565628690408865,9.200595368129587,-4.19475288163763,163.29310344827587,179.26783943052232,1.097828601728465,2.1796722438845885e-10,6.775976707960724e-11,-1.6299122575991531,0.06482295535386387,0.19419693604830632,0.24575001163759103,0.19419693604830632,-0.02477257980357817,1.0114934279606722,2.8144702262913036e-10,6.0,Scd,158.9,571.26,1.0,0.4631048875545789,1.7426742615375637,0.3333333333333333,0.6967990766876537,0.6626085809211798,0.18181818181818182,0.9998727082507535
NGC0055_rotmod,21,603.3049234990365,30.165246174951825,2.9791026421106688,5.234506967120906,-4.287746304752697,72.25238095238095,84.50093244056423,1.169524537831575,9.390923940062581e-12,2.6897421217841494e-11,-0.7399548848295566,-0.006749446058151733,-0.020248030708893548,0.030792101725086583,-0.020248030708893548,-0.024526097414230227,0.8162642942288029,2.2700824156059073e-10,9.0,Sm,85.6,54.55,2.0,-0.15548490284039498,-0.6060524737090116,-0.6666666666666666,-0.23394643340983576,-0.11250691921826866,-0.36363636363636365,0.959394943778361
UGC08837_rotmod,8,218.89619023297072,31.27088431899582,4.829064962990463,6.6546442547326965,-5.066509739730876,30.488749999999996,42.926088740257974,1.4079320647864533,4.827026837969942e-12,2.1334650109098377e-11,0.2568304456709182,0.027065259111484934,0.08117595707508089,0.1167526602438339,0.08117595707508089,-0.017095521621591277,0.9033970703443334,2.473852607966026e-10,10.0,Im,0.0,15.73,2.0,0.0,-1.8496004689179049,-1.0,0.0,-0.5228966473160152,-0.5454545454545455,0.38561136257659523
UGC03546_rotmod,30,950.4831058293652,32.77527951135742,1.7760554690574615,8.844270067744661,-3.7064447793617674,212.0,233.94000648613698,1.1034905966327215,8.749967613206988e-10,4.8367401774810136e-11,-2.1450875514847874,0.053904824196451775,0.16155802155994925,0.213112606072484,0.16155802155994925,-0.024773304880039693,0.9790123376782188,2.7240960317600894e-10,1.0,Sa,196.9,2403.42,1.0,0.6775257996569886,3.179477815998963,2.0,1.0194220884300533,1.136775579152912,1.090909090909091,0.9999963039373985
DDO170_rotmod,8,243.75334610892503,34.82190658698929,5.807892157802296,7.662277224268967,-4.683742861564128,52.25,57.931409089804006,1.1087351021972058,3.204805313331293e-12,1.3758719241342366e-11,-0.7154330319913408,-0.05438879209676888,-0.16300567673654726,-0.18768588419342336,-0.16300567673654726,0.011859474954805719,0.7076718846282432,1.8245587032387804e-10,10.0,Im,60.0,9.39,2.0,-0.5108256237659907,-2.3655248927679198,-1.0,-0.7686008775853995,-0.6931595441551737,-0.5454545454545455,-0.22489247337562002
F563-V1_rotmod,6,174.34883561584897,34.869767123169794,4.996145244671944,7.28244934672937,-5.055652158735929,24.61666666666667,49.89492746034631,2.026875861625442,2.631437188343297e-12,1.596436901963106e-11,0.008408030018230234,0.027065259111484934,0.08117595707508089,0.0605242215036714,0.08117595707508089,0.009923690520444348,0.9033970703443334,2.3385901716403907e-10,10.0,Im,0.0,9.75,3.0,0.0,-2.3279029009783354,-1.0,0.0,-0.6807437153809657,-0.5454545454545455,-0.18046780458668746
ESO444-G084_rotmod,7,215.63433876024305,35.93905646004051,2.4335670831500313,8.833940213477854,4.236780756403271,48.285714285714285,38.32877045918434,0.7937911041842911,6.146000543146057e-12,2.3747641664500647e-11,-0.9637313349439717,0.027065259111484934,0.08117595707508089,0.12512967855551155,0.08117595707508089,-0.021120894545902366,0.9033970703443334,2.4946631600540546e-10,10.0,Im,0.0,19.81,2.0,0.0,-1.6189833252776318,-1.0,0.0,-0.44678948680604835,-0.5454545454545455,0.5984147548537541
NGC4088_rotmod,12,396.9341555619556,36.084923232905055,6.270771346698645,7.855185896041653,-5.370685098148173,162.15833333333333,199.39852226061797,1.2296532540867544,7.261733763660036e-11,7.65206058487628e-11,-1.334396460383755,0.059133070504001246,0.17719272852057713,0.22874467916325905,0.17719272852057713,-0.024772039237779257,0.9944391916099746,2.767013873501483e-10,4.0,Sbc,171.7,457.96,1.0,0.5405785819153384,1.5216116580675203,1.0,0.8133679148686078,0.5896545638022737,0.5454545454545455,0.9997805819742762
NGC1090_rotmod,24,840.6828342879556,36.5514275777372,3.715555184031208,9.489141131627145,-4.542815771657453,149.9958333333333,163.1037189870975,1.0873883318120894,3.409191820436772e-11,5.384365187342977e-11,-1.1743147345994214,0.052205313200000665,0.15647381445156278,0.208019726012388,0.15647381445156278,-0.02476913730350035,0.9740474680992052,2.7102578055220423e-10,4.0,Sbc,164.4,283.68,1.0,0.4971322966339882,1.0426766563378065,1.0,0.7479975586423732,0.4315987381376324,0.5454545454545455,0.9992862796976222
UGCA442_rotmod,8,266.68621421378475,38.09803060196925,1.487314765784589,7.081164742319574,2.9869449309685447,44.7875,40.776043396629234,0.9104335673263574,4.2423938103389024e-12,1.4636487876337118e-11,-1.112774796230305,-0.07327693019470286,-0.21943817272907246,-0.25826001692383443,-0.21943817272907246,0.018654895414944195,0.6688421281818365,1.7002308205163262e-10,9.0,Sm,56.4,7.6,1.0,-0.5727010274840783,-2.577021938695806,-0.6666666666666666,-0.8617001415731024,-0.7629567819829277,-0.36363636363636365,-0.45365544907974936
